City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,marka,1.7159,44.7717,28.010000000000048,76,89,8.64,SO,2024-02-13
251,qui nhon,13.7667,109.2333,22.77000000000004,86,94,3.81,VN,2024-02-13
252,cockburn town,21.4612,-71.1419,25.310000000000002,80,21,5.87,TC,2024-02-13
253,ust'-kulom,61.6864,53.6902,-20.18999999999997,94,100,3.57,RU,2024-02-13
254,port blair,11.6667,92.75,28.02000000000004,78,40,4.12,IN,2024-02-13
255,chernomorskoye,45.5039,32.6997,7.240000000000009,82,100,3.14,UA,2024-02-13
256,shenjiamen,29.9576,122.298,11.260000000000048,90,93,5.02,CN,2024-02-13
257,kaoma,-14.7833,24.8,26.450000000000045,56,100,1.24,ZM,2024-02-13
258,laguna,38.421,-121.4238,8.379999999999995,92,0,2.06,US,2024-02-13
259,tanout,14.9709,8.8879,33.31,5,2,7.2,NE,2024-02-13
260,presidente epitacio,-21.7633,-52.1156,34.56,38,41,4.07,BR,2024-02-13
261,shentala,54.45,51.4833,-9.729999999999961,93,99,4.42,RU,2024-02-13
262,santa ana de yacuma,-13.75,-65.4333,23.970000000000027,100,100,2.57,BO,2024-02-13
263,ocean shores,46.9737,-124.1563,6.1200000000000045,93,20,2.06,US,2024-02-13
264,bridlington,54.0831,-0.1919,8.830000000000041,86,100,3.58,GB,2024-02-13
265,coahuayana de hidalgo,18.7,-103.6583,21.629999999999995,87,81,0.98,MX,2024-02-13
266,pitimbu,-7.4706,-34.8086,31.33000000000004,69,63,6.44,BR,2024-02-13
267,tsiombe,-25.3,45.4833,27.220000000000027,74,37,8.53,MG,2024-02-13
268,mangrol,21.1167,70.1167,23.840000000000032,48,100,6.54,IN,2024-02-13
269,kitimat,54.0524,-128.6534,-0.049999999999954525,74,39,0.89,CA,2024-02-13
270,juegang,32.3174,121.1855,11.410000000000025,79,96,3.53,CN,2024-02-13
271,touros,-5.1989,-35.4608,27.689999999999998,80,38,6.58,BR,2024-02-13
272,cole harbour,44.6724,-63.4751,0.7100000000000364,92,20,0.89,CA,2024-02-13
273,debre mark'os,10.35,37.7333,24.58000000000004,17,78,4.47,ET,2024-02-13
274,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,68,10.53,PT,2024-02-13
275,aljezur,37.3191,-8.8033,17.29000000000002,89,100,1.53,PT,2024-02-13
276,utrik,11.2278,169.8474,25.720000000000027,74,100,6.9,MH,2024-02-13
277,burgersdorp,-30.9977,26.3286,35.78000000000003,12,42,5.44,ZA,2024-02-13
278,kirensk,57.7853,108.1119,-16.129999999999995,91,100,3.58,RU,2024-02-13
279,i-n-salah,27.1935,2.4607,30.189999999999998,17,0,5.56,DZ,2024-02-13
280,zapala,-38.8992,-70.0544,17.29000000000002,34,48,3.43,AR,2024-02-13
281,happy valley-goose bay,53.3168,-60.3315,-6.829999999999984,86,100,4.63,CA,2024-02-13
